"w1","w2","w3","w4","w5","string","cats"
"with","john","chased","barked","yesterday","with john chased barked yesterday","p pn tv itv sadv"
"yesterday","john","chased","barked","yesterday","yesterday john chased barked yesterday","sadv pn tv itv sadv"
"quickly","john","chased","barked","yesterday","quickly john chased barked yesterday","adv pn tv itv sadv"
"water","john","chased","barked","yesterday","water john chased barked yesterday","mn pn tv itv sadv"
"water","barked","chased","barked","yesterday","water barked chased barked yesterday","mn itv tv itv sadv"
"john","barked","chased","barked","yesterday","john barked chased barked yesterday","pn itv tv itv sadv"
"water","chased","quickly","yesterday","quickly","water chased quickly yesterday quickly","mn tv adv sadv adv"
"john","chased","quickly","yesterday","quickly","john chased quickly yesterday quickly","pn tv adv sadv adv"
"water","barked","quickly","yesterday","quickly","water barked quickly yesterday quickly","mn itv adv sadv adv"
"john","barked","quickly","yesterday","quickly","john barked quickly yesterday quickly","pn itv adv sadv adv"
"yesterday","chased","water","yesterday","quickly","yesterday chased water yesterday quickly","sadv tv mn sadv adv"
"quickly","chased","water","yesterday","quickly","quickly chased water yesterday quickly","adv tv mn sadv adv"
"water","chased","water","yesterday","quickly","water chased water yesterday quickly","mn tv mn sadv adv"
"john","chased","water","yesterday","quickly","john chased water yesterday quickly","pn tv mn sadv adv"
"yesterday","chased","john","yesterday","quickly","yesterday chased john yesterday quickly","sadv tv pn sadv adv"
"quickly","chased","john","yesterday","quickly","quickly chased john yesterday quickly","adv tv pn sadv adv"
"water","chased","john","yesterday","quickly","water chased john yesterday quickly","mn tv pn sadv adv"
"john","chased","john","yesterday","quickly","john chased john yesterday quickly","pn tv pn sadv adv"
"water","yesterday","chased","yesterday","quickly","water yesterday chased yesterday quickly","mn sadv tv sadv adv"
"john","yesterday","chased","yesterday","quickly","john yesterday chased yesterday quickly","pn sadv tv sadv adv"
"water","quickly","chased","yesterday","quickly","water quickly chased yesterday quickly","mn adv tv sadv adv"
"john","quickly","chased","yesterday","quickly","john quickly chased yesterday quickly","pn adv tv sadv adv"
"the","dog","chased","yesterday","quickly","the dog chased yesterday quickly","d cn tv sadv adv"
"with","water","chased","yesterday","quickly","with water chased yesterday quickly","p mn tv sadv adv"
"yesterday","water","chased","yesterday","quickly","yesterday water chased yesterday quickly","sadv mn tv sadv adv"
"quickly","water","chased","yesterday","quickly","quickly water chased yesterday quickly","adv mn tv sadv adv"
"john","water","chased","yesterday","quickly","john water chased yesterday quickly","pn mn tv sadv adv"
"with","john","chased","yesterday","quickly","with john chased yesterday quickly","p pn tv sadv adv"
"yesterday","john","chased","yesterday","quickly","yesterday john chased yesterday quickly","sadv pn tv sadv adv"
"quickly","john","chased","yesterday","quickly","quickly john chased yesterday quickly","adv pn tv sadv adv"
"water","john","chased","yesterday","quickly","water john chased yesterday quickly","mn pn tv sadv adv"
"water","barked","chased","yesterday","quickly","water barked chased yesterday quickly","mn itv tv sadv adv"
"john","barked","chased","yesterday","quickly","john barked chased yesterday quickly","pn itv tv sadv adv"
"water","yesterday","barked","yesterday","quickly","water yesterday barked yesterday quickly","mn sadv itv sadv adv"
"john","yesterday","barked","yesterday","quickly","john yesterday barked yesterday quickly","pn sadv itv sadv adv"
"water","quickly","barked","yesterday","quickly","water quickly barked yesterday quickly","mn adv itv sadv adv"
"john","quickly","barked","yesterday","quickly","john quickly barked yesterday quickly","pn adv itv sadv adv"
"the","dog","barked","yesterday","quickly","the dog barked yesterday quickly","d cn itv sadv adv"
"with","water","barked","yesterday","quickly","with water barked yesterday quickly","p mn itv sadv adv"
"yesterday","water","barked","yesterday","quickly","yesterday water barked yesterday quickly","sadv mn itv sadv adv"
"quickly","water","barked","yesterday","quickly","quickly water barked yesterday quickly","adv mn itv sadv adv"
"john","water","barked","yesterday","quickly","john water barked yesterday quickly","pn mn itv sadv adv"
"with","john","barked","yesterday","quickly","with john barked yesterday quickly","p pn itv sadv adv"
"yesterday","john","barked","yesterday","quickly","yesterday john barked yesterday quickly","sadv pn itv sadv adv"
"quickly","john","barked","yesterday","quickly","quickly john barked yesterday quickly","adv pn itv sadv adv"
"water","john","barked","yesterday","quickly","water john barked yesterday quickly","mn pn itv sadv adv"
"water","chased","barked","yesterday","quickly","water chased barked yesterday quickly","mn tv itv sadv adv"
"john","chased","barked","yesterday","quickly","john chased barked yesterday quickly","pn tv itv sadv adv"
"yesterday","chased","the","dog","quickly","yesterday chased the dog quickly","sadv tv d cn adv"
"quickly","chased","the","dog","quickly","quickly chased the dog quickly","adv tv d cn adv"
"dog","chased","the","dog","quickly","dog chased the dog quickly","cn tv d cn adv"
"water","chased","the","dog","quickly","water chased the dog quickly","mn tv d cn adv"
"john","chased","the","dog","quickly","john chased the dog quickly","pn tv d cn adv"
"dog","chased","the","water","quickly","dog chased the water quickly","cn tv d mn adv"
"yesterday","chased","with","water","quickly","yesterday chased with water quickly","sadv tv p mn adv"
"quickly","chased","with","water","quickly","quickly chased with water quickly","adv tv p mn adv"
"water","chased","with","water","quickly","water chased with water quickly","mn tv p mn adv"
"john","chased","with","water","quickly","john chased with water quickly","pn tv p mn adv"
"yesterday","barked","with","water","quickly","yesterday barked with water quickly","sadv itv p mn adv"
"quickly","barked","with","water","quickly","quickly barked with water quickly","adv itv p mn adv"
"water","barked","with","water","quickly","water barked with water quickly","mn itv p mn adv"
"john","barked","with","water","quickly","john barked with water quickly","pn itv p mn adv"
"yesterday","chased","yesterday","water","quickly","yesterday chased yesterday water quickly","sadv tv sadv mn adv"
"quickly","chased","yesterday","water","quickly","quickly chased yesterday water quickly","adv tv sadv mn adv"
"water","chased","yesterday","water","quickly","water chased yesterday water quickly","mn tv sadv mn adv"
"john","chased","yesterday","water","quickly","john chased yesterday water quickly","pn tv sadv mn adv"
"yesterday","barked","yesterday","water","quickly","yesterday barked yesterday water quickly","sadv itv sadv mn adv"
"quickly","barked","yesterday","water","quickly","quickly barked yesterday water quickly","adv itv sadv mn adv"
"water","barked","yesterday","water","quickly","water barked yesterday water quickly","mn itv sadv mn adv"
"john","barked","yesterday","water","quickly","john barked yesterday water quickly","pn itv sadv mn adv"
"yesterday","chased","quickly","water","quickly","yesterday chased quickly water quickly","sadv tv adv mn adv"
"quickly","chased","quickly","water","quickly","quickly chased quickly water quickly","adv tv adv mn adv"
"water","chased","quickly","water","quickly","water chased quickly water quickly","mn tv adv mn adv"
"john","chased","quickly","water","quickly","john chased quickly water quickly","pn tv adv mn adv"
"yesterday","barked","quickly","water","quickly","yesterday barked quickly water quickly","sadv itv adv mn adv"
"quickly","barked","quickly","water","quickly","quickly barked quickly water quickly","adv itv adv mn adv"
"water","barked","quickly","water","quickly","water barked quickly water quickly","mn itv adv mn adv"
"john","barked","quickly","water","quickly","john barked quickly water quickly","pn itv adv mn adv"
"yesterday","chased","john","water","quickly","yesterday chased john water quickly","sadv tv pn mn adv"
"quickly","chased","john","water","quickly","quickly chased john water quickly","adv tv pn mn adv"
"water","chased","john","water","quickly","water chased john water quickly","mn tv pn mn adv"
"john","chased","john","water","quickly","john chased john water quickly","pn tv pn mn adv"
"quickly","yesterday","chased","water","quickly","quickly yesterday chased water quickly","adv sadv tv mn adv"
"water","yesterday","chased","water","quickly","water yesterday chased water quickly","mn sadv tv mn adv"
"john","yesterday","chased","water","quickly","john yesterday chased water quickly","pn sadv tv mn adv"
"yesterday","quickly","chased","water","quickly","yesterday quickly chased water quickly","sadv adv tv mn adv"
"water","quickly","chased","water","quickly","water quickly chased water quickly","mn adv tv mn adv"
"john","quickly","chased","water","quickly","john quickly chased water quickly","pn adv tv mn adv"
"the","dog","chased","water","quickly","the dog chased water quickly","d cn tv mn adv"
"with","water","chased","water","quickly","with water chased water quickly","p mn tv mn adv"
"yesterday","water","chased","water","quickly","yesterday water chased water quickly","sadv mn tv mn adv"
"quickly","water","chased","water","quickly","quickly water chased water quickly","adv mn tv mn adv"
"john","water","chased","water","quickly","john water chased water quickly","pn mn tv mn adv"
"with","john","chased","water","quickly","with john chased water quickly","p pn tv mn adv"
"yesterday","john","chased","water","quickly","yesterday john chased water quickly","sadv pn tv mn adv"
"quickly","john","chased","water","quickly","quickly john chased water quickly","adv pn tv mn adv"
"water","john","chased","water","quickly","water john chased water quickly","mn pn tv mn adv"
"yesterday","barked","chased","water","quickly","yesterday barked chased water quickly","sadv itv tv mn adv"
"quickly","barked","chased","water","quickly","quickly barked chased water quickly","adv itv tv mn adv"
"water","barked","chased","water","quickly","water barked chased water quickly","mn itv tv mn adv"
"john","barked","chased","water","quickly","john barked chased water quickly","pn itv tv mn adv"
"dog","chased","the","john","quickly","dog chased the john quickly","cn tv d pn adv"
"yesterday","chased","with","john","quickly","yesterday chased with john quickly","sadv tv p pn adv"
"quickly","chased","with","john","quickly","quickly chased with john quickly","adv tv p pn adv"
"water","chased","with","john","quickly","water chased with john quickly","mn tv p pn adv"
"john","chased","with","john","quickly","john chased with john quickly","pn tv p pn adv"
"yesterday","barked","with","john","quickly","yesterday barked with john quickly","sadv itv p pn adv"
"quickly","barked","with","john","quickly","quickly barked with john quickly","adv itv p pn adv"
"water","barked","with","john","quickly","water barked with john quickly","mn itv p pn adv"
"john","barked","with","john","quickly","john barked with john quickly","pn itv p pn adv"
"yesterday","chased","yesterday","john","quickly","yesterday chased yesterday john quickly","sadv tv sadv pn adv"
"quickly","chased","yesterday","john","quickly","quickly chased yesterday john quickly","adv tv sadv pn adv"
"water","chased","yesterday","john","quickly","water chased yesterday john quickly","mn tv sadv pn adv"
"john","chased","yesterday","john","quickly","john chased yesterday john quickly","pn tv sadv pn adv"
"yesterday","barked","yesterday","john","quickly","yesterday barked yesterday john quickly","sadv itv sadv pn adv"
"quickly","barked","yesterday","john","quickly","quickly barked yesterday john quickly","adv itv sadv pn adv"
"water","barked","yesterday","john","quickly","water barked yesterday john quickly","mn itv sadv pn adv"
"john","barked","yesterday","john","quickly","john barked yesterday john quickly","pn itv sadv pn adv"
"yesterday","chased","quickly","john","quickly","yesterday chased quickly john quickly","sadv tv adv pn adv"
"quickly","chased","quickly","john","quickly","quickly chased quickly john quickly","adv tv adv pn adv"
"water","chased","quickly","john","quickly","water chased quickly john quickly","mn tv adv pn adv"
"john","chased","quickly","john","quickly","john chased quickly john quickly","pn tv adv pn adv"
"yesterday","barked","quickly","john","quickly","yesterday barked quickly john quickly","sadv itv adv pn adv"
"quickly","barked","quickly","john","quickly","quickly barked quickly john quickly","adv itv adv pn adv"
"water","barked","quickly","john","quickly","water barked quickly john quickly","mn itv adv pn adv"
"john","barked","quickly","john","quickly","john barked quickly john quickly","pn itv adv pn adv"
"yesterday","chased","water","john","quickly","yesterday chased water john quickly","sadv tv mn pn adv"
"quickly","chased","water","john","quickly","quickly chased water john quickly","adv tv mn pn adv"
"water","chased","water","john","quickly","water chased water john quickly","mn tv mn pn adv"
"john","chased","water","john","quickly","john chased water john quickly","pn tv mn pn adv"
"quickly","yesterday","chased","john","quickly","quickly yesterday chased john quickly","adv sadv tv pn adv"
"water","yesterday","chased","john","quickly","water yesterday chased john quickly","mn sadv tv pn adv"
"john","yesterday","chased","john","quickly","john yesterday chased john quickly","pn sadv tv pn adv"
"yesterday","quickly","chased","john","quickly","yesterday quickly chased john quickly","sadv adv tv pn adv"
"water","quickly","chased","john","quickly","water quickly chased john quickly","mn adv tv pn adv"
"john","quickly","chased","john","quickly","john quickly chased john quickly","pn adv tv pn adv"
"the","dog","chased","john","quickly","the dog chased john quickly","d cn tv pn adv"
"with","water","chased","john","quickly","with water chased john quickly","p mn tv pn adv"
"yesterday","water","chased","john","quickly","yesterday water chased john quickly","sadv mn tv pn adv"
"quickly","water","chased","john","quickly","quickly water chased john quickly","adv mn tv pn adv"
"john","water","chased","john","quickly","john water chased john quickly","pn mn tv pn adv"
"with","john","chased","john","quickly","with john chased john quickly","p pn tv pn adv"
"yesterday","john","chased","john","quickly","yesterday john chased john quickly","sadv pn tv pn adv"
"quickly","john","chased","john","quickly","quickly john chased john quickly","adv pn tv pn adv"
"water","john","chased","john","quickly","water john chased john quickly","mn pn tv pn adv"
"yesterday","barked","chased","john","quickly","yesterday barked chased john quickly","sadv itv tv pn adv"
"quickly","barked","chased","john","quickly","quickly barked chased john quickly","adv itv tv pn adv"
"water","barked","chased","john","quickly","water barked chased john quickly","mn itv tv pn adv"
"john","barked","chased","john","quickly","john barked chased john quickly","pn itv tv pn adv"
"water","quickly","yesterday","chased","quickly","water quickly yesterday chased quickly","mn adv sadv tv adv"
"john","quickly","yesterday","chased","quickly","john quickly yesterday chased quickly","pn adv sadv tv adv"
"the","dog","yesterday","chased","quickly","the dog yesterday chased quickly","d cn sadv tv adv"
"with","water","yesterday","chased","quickly","with water yesterday chased quickly","p mn sadv tv adv"
"yesterday","water","yesterday","chased","quickly","yesterday water yesterday chased quickly","sadv mn sadv tv adv"
"quickly","water","yesterday","chased","quickly","quickly water yesterday chased quickly","adv mn sadv tv adv"
"john","water","yesterday","chased","quickly","john water yesterday chased quickly","pn mn sadv tv adv"
"with","john","yesterday","chased","quickly","with john yesterday chased quickly","p pn sadv tv adv"
"yesterday","john","yesterday","chased","quickly","yesterday john yesterday chased quickly","sadv pn sadv tv adv"
"quickly","john","yesterday","chased","quickly","quickly john yesterday chased quickly","adv pn sadv tv adv"
"water","john","yesterday","chased","quickly","water john yesterday chased quickly","mn pn sadv tv adv"
"water","chased","yesterday","chased","quickly","water chased yesterday chased quickly","mn tv sadv tv adv"
"john","chased","yesterday","chased","quickly","john chased yesterday chased quickly","pn tv sadv tv adv"
"water","barked","yesterday","chased","quickly","water barked yesterday chased quickly","mn itv sadv tv adv"
"john","barked","yesterday","chased","quickly","john barked yesterday chased quickly","pn itv sadv tv adv"
"water","yesterday","quickly","chased","quickly","water yesterday quickly chased quickly","mn sadv adv tv adv"
"john","yesterday","quickly","chased","quickly","john yesterday quickly chased quickly","pn sadv adv tv adv"
"the","dog","quickly","chased","quickly","the dog quickly chased quickly","d cn adv tv adv"
"with","water","quickly","chased","quickly","with water quickly chased quickly","p mn adv tv adv"
"yesterday","water","quickly","chased","quickly","yesterday water quickly chased quickly","sadv mn adv tv adv"
"quickly","water","quickly","chased","quickly","quickly water quickly chased quickly","adv mn adv tv adv"
"john","water","quickly","chased","quickly","john water quickly chased quickly","pn mn adv tv adv"
"with","john","quickly","chased","quickly","with john quickly chased quickly","p pn adv tv adv"
"yesterday","john","quickly","chased","quickly","yesterday john quickly chased quickly","sadv pn adv tv adv"
"quickly","john","quickly","chased","quickly","quickly john quickly chased quickly","adv pn adv tv adv"
"water","john","quickly","chased","quickly","water john quickly chased quickly","mn pn adv tv adv"
"water","chased","quickly","chased","quickly","water chased quickly chased quickly","mn tv adv tv adv"
"john","chased","quickly","chased","quickly","john chased quickly chased quickly","pn tv adv tv adv"
"water","barked","quickly","chased","quickly","water barked quickly chased quickly","mn itv adv tv adv"
"john","barked","quickly","chased","quickly","john barked quickly chased quickly","pn itv adv tv adv"
"yesterday","the","dog","chased","quickly","yesterday the dog chased quickly","sadv d cn tv adv"
"quickly","the","dog","chased","quickly","quickly the dog chased quickly","adv d cn tv adv"
"dog","the","dog","chased","quickly","dog the dog chased quickly","cn d cn tv adv"
"water","the","dog","chased","quickly","water the dog chased quickly","mn d cn tv adv"
"john","the","dog","chased","quickly","john the dog chased quickly","pn d cn tv adv"
"the","water","dog","chased","quickly","the water dog chased quickly","d mn cn tv adv"
"dog","the","water","chased","quickly","dog the water chased quickly","cn d mn tv adv"
"yesterday","with","water","chased","quickly","yesterday with water chased quickly","sadv p mn tv adv"
"quickly","with","water","chased","quickly","quickly with water chased quickly","adv p mn tv adv"
"water","with","water","chased","quickly","water with water chased quickly","mn p mn tv adv"
"john","with","water","chased","quickly","john with water chased quickly","pn p mn tv adv"
"quickly","yesterday","water","chased","quickly","quickly yesterday water chased quickly","adv sadv mn tv adv"
"water","yesterday","water","chased","quickly","water yesterday water chased quickly","mn sadv mn tv adv"
"john","yesterday","water","chased","quickly","john yesterday water chased quickly","pn sadv mn tv adv"
"yesterday","quickly","water","chased","quickly","yesterday quickly water chased quickly","sadv adv mn tv adv"
"water","quickly","water","chased","quickly","water quickly water chased quickly","mn adv mn tv adv"
"john","quickly","water","chased","quickly","john quickly water chased quickly","pn adv mn tv adv"
"the","dog","water","chased","quickly","the dog water chased quickly","d cn mn tv adv"
"with","john","water","chased","quickly","with john water chased quickly","p pn mn tv adv"
"yesterday","john","water","chased","quickly","yesterday john water chased quickly","sadv pn mn tv adv"
"quickly","john","water","chased","quickly","quickly john water chased quickly","adv pn mn tv adv"
"water","john","water","chased","quickly","water john water chased quickly","mn pn mn tv adv"
"yesterday","chased","water","chased","quickly","yesterday chased water chased quickly","sadv tv mn tv adv"
"quickly","chased","water","chased","quickly","quickly chased water chased quickly","adv tv mn tv adv"
"water","chased","water","chased","quickly","water chased water chased quickly","mn tv mn tv adv"
"john","chased","water","chased","quickly","john chased water chased quickly","pn tv mn tv adv"
"dog","the","john","chased","quickly","dog the john chased quickly","cn d pn tv adv"
"yesterday","with","john","chased","quickly","yesterday with john chased quickly","sadv p pn tv adv"
"quickly","with","john","chased","quickly","quickly with john chased quickly","adv p pn tv adv"
"water","with","john","chased","quickly","water with john chased quickly","mn p pn tv adv"
"john","with","john","chased","quickly","john with john chased quickly","pn p pn tv adv"
"quickly","yesterday","john","chased","quickly","quickly yesterday john chased quickly","adv sadv pn tv adv"
"water","yesterday","john","chased","quickly","water yesterday john chased quickly","mn sadv pn tv adv"
"john","yesterday","john","chased","quickly","john yesterday john chased quickly","pn sadv pn tv adv"
"yesterday","quickly","john","chased","quickly","yesterday quickly john chased quickly","sadv adv pn tv adv"
"water","quickly","john","chased","quickly","water quickly john chased quickly","mn adv pn tv adv"
"john","quickly","john","chased","quickly","john quickly john chased quickly","pn adv pn tv adv"
"the","dog","john","chased","quickly","the dog john chased quickly","d cn pn tv adv"
"with","water","john","chased","quickly","with water john chased quickly","p mn pn tv adv"
"yesterday","water","john","chased","quickly","yesterday water john chased quickly","sadv mn pn tv adv"
"quickly","water","john","chased","quickly","quickly water john chased quickly","adv mn pn tv adv"
"john","water","john","chased","quickly","john water john chased quickly","pn mn pn tv adv"
"yesterday","chased","john","chased","quickly","yesterday chased john chased quickly","sadv tv pn tv adv"
"quickly","chased","john","chased","quickly","quickly chased john chased quickly","adv tv pn tv adv"
"water","chased","john","chased","quickly","water chased john chased quickly","mn tv pn tv adv"
"john","chased","john","chased","quickly","john chased john chased quickly","pn tv pn tv adv"
"water","yesterday","barked","chased","quickly","water yesterday barked chased quickly","mn sadv itv tv adv"
"john","yesterday","barked","chased","quickly","john yesterday barked chased quickly","pn sadv itv tv adv"
"water","quickly","barked","chased","quickly","water quickly barked chased quickly","mn adv itv tv adv"
"john","quickly","barked","chased","quickly","john quickly barked chased quickly","pn adv itv tv adv"
"the","dog","barked","chased","quickly","the dog barked chased quickly","d cn itv tv adv"
"with","water","barked","chased","quickly","with water barked chased quickly","p mn itv tv adv"
"yesterday","water","barked","chased","quickly","yesterday water barked chased quickly","sadv mn itv tv adv"
"quickly","water","barked","chased","quickly","quickly water barked chased quickly","adv mn itv tv adv"
"john","water","barked","chased","quickly","john water barked chased quickly","pn mn itv tv adv"
"with","john","barked","chased","quickly","with john barked chased quickly","p pn itv tv adv"
"yesterday","john","barked","chased","quickly","yesterday john barked chased quickly","sadv pn itv tv adv"
"quickly","john","barked","chased","quickly","quickly john barked chased quickly","adv pn itv tv adv"
"water","john","barked","chased","quickly","water john barked chased quickly","mn pn itv tv adv"
"water","chased","barked","chased","quickly","water chased barked chased quickly","mn tv itv tv adv"
"john","chased","barked","chased","quickly","john chased barked chased quickly","pn tv itv tv adv"
"water","quickly","yesterday","barked","quickly","water quickly yesterday barked quickly","mn adv sadv itv adv"
"john","quickly","yesterday","barked","quickly","john quickly yesterday barked quickly","pn adv sadv itv adv"
"the","dog","yesterday","barked","quickly","the dog yesterday barked quickly","d cn sadv itv adv"
"with","water","yesterday","barked","quickly","with water yesterday barked quickly","p mn sadv itv adv"
"yesterday","water","yesterday","barked","quickly","yesterday water yesterday barked quickly","sadv mn sadv itv adv"
"quickly","water","yesterday","barked","quickly","quickly water yesterday barked quickly","adv mn sadv itv adv"
"john","water","yesterday","barked","quickly","john water yesterday barked quickly","pn mn sadv itv adv"
"with","john","yesterday","barked","quickly","with john yesterday barked quickly","p pn sadv itv adv"
"yesterday","john","yesterday","barked","quickly","yesterday john yesterday barked quickly","sadv pn sadv itv adv"
"quickly","john","yesterday","barked","quickly","quickly john yesterday barked quickly","adv pn sadv itv adv"
"water","john","yesterday","barked","quickly","water john yesterday barked quickly","mn pn sadv itv adv"
"water","chased","yesterday","barked","quickly","water chased yesterday barked quickly","mn tv sadv itv adv"
"john","chased","yesterday","barked","quickly","john chased yesterday barked quickly","pn tv sadv itv adv"
"water","barked","yesterday","barked","quickly","water barked yesterday barked quickly","mn itv sadv itv adv"
"john","barked","yesterday","barked","quickly","john barked yesterday barked quickly","pn itv sadv itv adv"
"water","yesterday","quickly","barked","quickly","water yesterday quickly barked quickly","mn sadv adv itv adv"
"john","yesterday","quickly","barked","quickly","john yesterday quickly barked quickly","pn sadv adv itv adv"
"the","dog","quickly","barked","quickly","the dog quickly barked quickly","d cn adv itv adv"
"with","water","quickly","barked","quickly","with water quickly barked quickly","p mn adv itv adv"
"yesterday","water","quickly","barked","quickly","yesterday water quickly barked quickly","sadv mn adv itv adv"
"quickly","water","quickly","barked","quickly","quickly water quickly barked quickly","adv mn adv itv adv"
"john","water","quickly","barked","quickly","john water quickly barked quickly","pn mn adv itv adv"
"with","john","quickly","barked","quickly","with john quickly barked quickly","p pn adv itv adv"
"yesterday","john","quickly","barked","quickly","yesterday john quickly barked quickly","sadv pn adv itv adv"
"quickly","john","quickly","barked","quickly","quickly john quickly barked quickly","adv pn adv itv adv"
"water","john","quickly","barked","quickly","water john quickly barked quickly","mn pn adv itv adv"
"water","chased","quickly","barked","quickly","water chased quickly barked quickly","mn tv adv itv adv"
"john","chased","quickly","barked","quickly","john chased quickly barked quickly","pn tv adv itv adv"
"water","barked","quickly","barked","quickly","water barked quickly barked quickly","mn itv adv itv adv"
"john","barked","quickly","barked","quickly","john barked quickly barked quickly","pn itv adv itv adv"
"yesterday","the","dog","barked","quickly","yesterday the dog barked quickly","sadv d cn itv adv"
"quickly","the","dog","barked","quickly","quickly the dog barked quickly","adv d cn itv adv"
"dog","the","dog","barked","quickly","dog the dog barked quickly","cn d cn itv adv"
"water","the","dog","barked","quickly","water the dog barked quickly","mn d cn itv adv"
"john","the","dog","barked","quickly","john the dog barked quickly","pn d cn itv adv"
"the","water","dog","barked","quickly","the water dog barked quickly","d mn cn itv adv"
"dog","the","water","barked","quickly","dog the water barked quickly","cn d mn itv adv"
"yesterday","with","water","barked","quickly","yesterday with water barked quickly","sadv p mn itv adv"
"quickly","with","water","barked","quickly","quickly with water barked quickly","adv p mn itv adv"
"water","with","water","barked","quickly","water with water barked quickly","mn p mn itv adv"
"john","with","water","barked","quickly","john with water barked quickly","pn p mn itv adv"
"quickly","yesterday","water","barked","quickly","quickly yesterday water barked quickly","adv sadv mn itv adv"
"water","yesterday","water","barked","quickly","water yesterday water barked quickly","mn sadv mn itv adv"
"john","yesterday","water","barked","quickly","john yesterday water barked quickly","pn sadv mn itv adv"
"yesterday","quickly","water","barked","quickly","yesterday quickly water barked quickly","sadv adv mn itv adv"
"water","quickly","water","barked","quickly","water quickly water barked quickly","mn adv mn itv adv"
"john","quickly","water","barked","quickly","john quickly water barked quickly","pn adv mn itv adv"
"the","dog","water","barked","quickly","the dog water barked quickly","d cn mn itv adv"
"with","john","water","barked","quickly","with john water barked quickly","p pn mn itv adv"
"yesterday","john","water","barked","quickly","yesterday john water barked quickly","sadv pn mn itv adv"
"quickly","john","water","barked","quickly","quickly john water barked quickly","adv pn mn itv adv"
"water","john","water","barked","quickly","water john water barked quickly","mn pn mn itv adv"
"yesterday","chased","water","barked","quickly","yesterday chased water barked quickly","sadv tv mn itv adv"
"quickly","chased","water","barked","quickly","quickly chased water barked quickly","adv tv mn itv adv"
"water","chased","water","barked","quickly","water chased water barked quickly","mn tv mn itv adv"
"john","chased","water","barked","quickly","john chased water barked quickly","pn tv mn itv adv"
"dog","the","john","barked","quickly","dog the john barked quickly","cn d pn itv adv"
"yesterday","with","john","barked","quickly","yesterday with john barked quickly","sadv p pn itv adv"
"quickly","with","john","barked","quickly","quickly with john barked quickly","adv p pn itv adv"
"water","with","john","barked","quickly","water with john barked quickly","mn p pn itv adv"
"john","with","john","barked","quickly","john with john barked quickly","pn p pn itv adv"
"quickly","yesterday","john","barked","quickly","quickly yesterday john barked quickly","adv sadv pn itv adv"
"water","yesterday","john","barked","quickly","water yesterday john barked quickly","mn sadv pn itv adv"
"john","yesterday","john","barked","quickly","john yesterday john barked quickly","pn sadv pn itv adv"
"yesterday","quickly","john","barked","quickly","yesterday quickly john barked quickly","sadv adv pn itv adv"
"water","quickly","john","barked","quickly","water quickly john barked quickly","mn adv pn itv adv"
"john","quickly","john","barked","quickly","john quickly john barked quickly","pn adv pn itv adv"
"the","dog","john","barked","quickly","the dog john barked quickly","d cn pn itv adv"
"with","water","john","barked","quickly","with water john barked quickly","p mn pn itv adv"
"yesterday","water","john","barked","quickly","yesterday water john barked quickly","sadv mn pn itv adv"
"quickly","water","john","barked","quickly","quickly water john barked quickly","adv mn pn itv adv"
"john","water","john","barked","quickly","john water john barked quickly","pn mn pn itv adv"
"yesterday","chased","john","barked","quickly","yesterday chased john barked quickly","sadv tv pn itv adv"
"quickly","chased","john","barked","quickly","quickly chased john barked quickly","adv tv pn itv adv"
"water","chased","john","barked","quickly","water chased john barked quickly","mn tv pn itv adv"
"john","chased","john","barked","quickly","john chased john barked quickly","pn tv pn itv adv"
"water","yesterday","chased","barked","quickly","water yesterday chased barked quickly","mn sadv tv itv adv"
"john","yesterday","chased","barked","quickly","john yesterday chased barked quickly","pn sadv tv itv adv"
"water","quickly","chased","barked","quickly","water quickly chased barked quickly","mn adv tv itv adv"
"john","quickly","chased","barked","quickly","john quickly chased barked quickly","pn adv tv itv adv"
"the","dog","chased","barked","quickly","the dog chased barked quickly","d cn tv itv adv"
"with","water","chased","barked","quickly","with water chased barked quickly","p mn tv itv adv"
"yesterday","water","chased","barked","quickly","yesterday water chased barked quickly","sadv mn tv itv adv"
"quickly","water","chased","barked","quickly","quickly water chased barked quickly","adv mn tv itv adv"
"john","water","chased","barked","quickly","john water chased barked quickly","pn mn tv itv adv"
"with","john","chased","barked","quickly","with john chased barked quickly","p pn tv itv adv"
"yesterday","john","chased","barked","quickly","yesterday john chased barked quickly","sadv pn tv itv adv"
"quickly","john","chased","barked","quickly","quickly john chased barked quickly","adv pn tv itv adv"
"water","john","chased","barked","quickly","water john chased barked quickly","mn pn tv itv adv"
"water","barked","chased","barked","quickly","water barked chased barked quickly","mn itv tv itv adv"
"john","barked","chased","barked","quickly","john barked chased barked quickly","pn itv tv itv adv"
"yesterday","chased","yesterday","the","dog","yesterday chased yesterday the dog","sadv tv sadv d cn"
"quickly","chased","yesterday","the","dog","quickly chased yesterday the dog","adv tv sadv d cn"
"dog","chased","yesterday","the","dog","dog chased yesterday the dog","cn tv sadv d cn"
"water","chased","yesterday","the","dog","water chased yesterday the dog","mn tv sadv d cn"
"john","chased","yesterday","the","dog","john chased yesterday the dog","pn tv sadv d cn"
"yesterday","barked","yesterday","the","dog","yesterday barked yesterday the dog","sadv itv sadv d cn"
"quickly","barked","yesterday","the","dog","quickly barked yesterday the dog","adv itv sadv d cn"
"dog","barked","yesterday","the","dog","dog barked yesterday the dog","cn itv sadv d cn"
"water","barked","yesterday","the","dog","water barked yesterday the dog","mn itv sadv d cn"
